,fiyat,il,ilce,mahalle,Net,OdaSayısı,BinanınYASI,BulunduguKAT,BinadakiKatSAYISI,IsıtmaTıpı,BanyoSAYISI
0,"325,000",0,0,9,10,1,0,8,4,1,0
1,"286,000",0,0,1,11,1,0,5,4,2,0
2,"469,000",0,0,0,8,1,0,4,4,2,0
3,"270,000",0,0,11,11,1,4,6,2,1,0
4,"188,000",0,0,14,0,0,0,9,0,1,0
5,"350,000",0,0,1,11,1,2,2,4,1,0
6,"495,000",0,0,8,10,1,3,4,3,2,1
7,"350,000",0,0,6,8,1,5,1,3,1,0
8,"365,000",0,0,0,4,0,0,1,3,1,0
9,"335,000",0,0,12,2,0,4,7,0,3,0
10,"320,000",0,0,0,7,1,5,2,1,1,0
11,"340,000",0,0,7,9,1,4,2,1,1,0
12,"430,000",0,0,15,7,1,0,0,4,1,0
13,"350,000",0,0,10,9,1,5,1,1,1,0
14,"358,000",0,0,7,12,1,4,2,1,1,0
15,"360,000",0,0,3,11,1,2,0,5,2,0
16,"370,000",0,0,3,14,1,4,2,1,1,0
17,"265,000",0,0,8,13,1,5,3,2,1,0
18,"420,000",0,0,10,11,1,0,1,4,1,0
19,"225,000",0,0,14,1,0,0,2,1,1,0
20,"360,000",0,0,4,11,1,0,2,4,1,0
21,"425,000",0,0,5,16,1,2,6,4,4,0
22,"465,000",0,0,2,15,2,1,7,0,0,1
23,"265,000",0,0,16,3,0,3,9,2,1,0
24,"450,000",0,0,12,17,3,5,7,0,0,1
25,"400,000",0,0,0,4,1,0,5,4,1,0
26,"258,000",0,0,1,10,1,1,0,1,1,0
27,"290,000",0,0,4,6,1,5,5,4,1,0
28,"325,000",0,0,10,5,1,3,8,4,1,0
29,"415,000",0,0,13,11,1,0,0,5,4,0
30,"325,000",0,0,9,10,1,0,8,4,1,0
31,"286,000",0,0,1,11,1,0,5,4,2,0
32,"469,000",0,0,0,8,1,0,4,4,2,0
33,"270,000",0,0,11,11,1,4,6,2,1,0
34,"188,000",0,0,14,0,0,0,9,0,1,0
35,"350,000",0,0,1,11,1,2,2,4,1,0
36,"495,000",0,0,8,10,1,3,4,3,2,1
37,"350,000",0,0,6,8,1,5,1,3,1,0
38,"365,000",0,0,0,4,0,0,1,3,1,0
39,"335,000",0,0,12,2,0,4,7,0,3,0
40,"320,000",0,0,0,7,1,5,2,1,1,0
41,"340,000",0,0,7,9,1,4,2,1,1,0
42,"430,000",0,0,15,7,1,0,0,4,1,0
43,"350,000",0,0,10,9,1,5,1,1,1,0
44,"358,000",0,0,7,12,1,4,2,1,1,0
45,"360,000",0,0,3,11,1,2,0,5,2,0
46,"370,000",0,0,3,14,1,4,2,1,1,0
47,"265,000",0,0,8,13,1,5,3,2,1,0
48,"420,000",0,0,10,11,1,0,1,4,1,0
49,"225,000",0,0,14,1,0,0,2,1,1,0
50,"360,000",0,0,4,11,1,0,2,4,1,0
51,"425,000",0,0,5,16,1,2,6,4,4,0
52,"465,000",0,0,2,15,2,1,7,0,0,1
53,"265,000",0,0,16,3,0,3,9,2,1,0
54,"450,000",0,0,12,17,3,5,7,0,0,1
55,"400,000",0,0,0,4,1,0,5,4,1,0
56,"258,000",0,0,1,10,1,1,0,1,1,0
57,"290,000",0,0,4,6,1,5,5,4,1,0
58,"325,000",0,0,10,5,1,3,8,4,1,0
59,"415,000",0,0,13,11,1,0,0,5,4,0
60,"325,000",0,0,9,10,1,0,8,4,1,0
61,"286,000",0,0,1,11,1,0,5,4,2,0
62,"469,000",0,0,0,8,1,0,4,4,2,0
63,"270,000",0,0,11,11,1,4,6,2,1,0
64,"188,000",0,0,14,0,0,0,9,0,1,0
65,"350,000",0,0,1,11,1,2,2,4,1,0
66,"495,000",0,0,8,10,1,3,4,3,2,1
67,"350,000",0,0,6,8,1,5,1,3,1,0
68,"365,000",0,0,0,4,0,0,1,3,1,0
69,"335,000",0,0,12,2,0,4,7,0,3,0
70,"320,000",0,0,0,7,1,5,2,1,1,0
71,"340,000",0,0,7,9,1,4,2,1,1,0
72,"430,000",0,0,15,7,1,0,0,4,1,0
73,"350,000",0,0,10,9,1,5,1,1,1,0
74,"358,000",0,0,7,12,1,4,2,1,1,0
75,"360,000",0,0,3,11,1,2,0,5,2,0
76,"370,000",0,0,3,14,1,4,2,1,1,0
77,"265,000",0,0,8,13,1,5,3,2,1,0
78,"420,000",0,0,10,11,1,0,1,4,1,0
79,"225,000",0,0,14,1,0,0,2,1,1,0
80,"360,000",0,0,4,11,1,0,2,4,1,0
81,"425,000",0,0,5,16,1,2,6,4,4,0
